AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1572857590
Flush time ,s: 300
Wait time, s: 30
Measurement time, s: 570
Mass of fish, kg: 0.35100000000000003
Fish length - width - heigth, cm: 34;3.8;6;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.649
Salinity: 1.2
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-04 11:28:42;2.7505555555555556;1572867491;203.04179560666694;71.2676702579401;-0.005815325101799796;103.6936374121089;0.901981319887039;0.0;0.013289478335802634;570;102.03786714542191;102.058;99.673;104.003;4.329999999999998;10.756130683742185;90.16809116809117;2.7505555555555556;165.03333333333333;9902;0.11460648148148148;0.35100000000000003;71.2676702579401;16.135670570632815;17.30900788602931;0.5090884672361562;-0.44677734375;18.87684350224223;
2019-11-04 11:43:42;3.0008333333333335;1572868392;179.8705236224511;63.134553791480336;-0.005151676126435748;103.76048254718887;0.8691528391142579;0.0;0.015382240110729218;571;102.29645045045045;102.259;100.088;104.187;4.099000000000004;10.756130683742185;90.16809116809117;3.0008333333333335;180.05;10803;0.12503472222222223;0.35100000000000003;63.134553791480336;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;16.722604894929745;
2019-11-04 11:58:42;3.2508333333333335;1572869292;186.12175208629353;65.32873498228903;-0.005330717715849642;103.72299627718942;0.8747143239443107;0.0;0.015051789801578511;571;102.20616216216216;102.192;100.066;104.141;4.075000000000003;10.756130683742185;90.16809116809117;3.2508333333333335;195.05;11703;0.13545138888888889;0.35100000000000003;65.32873498228903;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;17.30378307578721;
2019-11-04 12:13:42;3.5005555555555556;1572870191;198.68425952782096;69.73817509426516;-0.005690520802933168;103.66777167359534;0.8641293213399877;0.0;0.015688930295095653;570;102.04345667870035;102.04650000000001;99.956;103.935;3.978999999999999;10.756130683742185;90.16809116809117;3.5005555555555556;210.03333333333333;12602;0.14585648148148148;0.35100000000000003;69.73817509426516;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;18.4717223479007;
2019-11-04 12:28:42;3.7508333333333335;1572871092;177.8260613976182;62.41694755056399;-0.005093120633167831;103.60509047044583;0.8353427711990811;0.0;0.017224392341478618;571;102.14884201077199;102.259;100.197;104.049;3.852000000000004;10.756130683742185;90.16809116809117;3.7508333333333335;225.05;13503;0.15628472222222223;0.35100000000000003;62.41694755056399;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;16.53253076093627;
2019-11-04 12:43:42;4.000555555555556;1572871992;179.08230083939802;62.85788759462871;-0.00512910061816464;103.8454469236437;0.8340099706116715;0.0;0.017325207121048004;570;102.38747927927928;102.394;100.197;104.393;4.195999999999998;10.756130683742185;90.16809116809117;4.000555555555556;240.03333333333333;14402;0.16668981481481482;0.35100000000000003;62.85788759462871;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;16.649323637363352;
2019-11-04 12:58:42;4.2508333333333335;1572872892;195.73062278381406;68.70144859711874;-0.005605925619721256;103.76856487155072;0.854813664096653;0.0;0.016144896859999213;571;102.1750679785331;102.192;99.956;104.164;4.207999999999998;10.756130683742185;90.16809116809117;4.2508333333333335;255.05;15303;0.17711805555555554;0.35100000000000003;68.70144859711874;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;18.19712204498031;
2019-11-04 13:13:42;4.500555555555556;1572873792;226.52971094768185;79.51192854263634;-0.0064880430673961735;103.16844975195784;0.892008657724706;0.0;0.013974359255144824;570;101.32365945945945;101.233;98.611;103.866;5.2549999999999955;10.756130683742185;90.16809116809117;4.500555555555556;270.03333333333336;16202;0.18752314814814816;0.35100000000000003;79.51192854263634;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;21.06052051692528;
2019-11-04 13:28:42;4.7508333333333335;1572874692;230.94547504651015;81.06186174132507;-0.006614515076426709;102.77098622474479;0.8968590308346014;0.0;0.01364459726758479;571;100.88233992805756;100.813;98.353;103.252;4.899000000000001;10.756130683742185;90.16809116809117;4.7508333333333335;285.05;17103;0.19795138888888889;0.35100000000000003;81.06186174132507;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;21.471055143982454;
2019-11-04 13:43:43;5.0008333333333335;1572875592;245.9257109860054;86.31992455608791;-0.007043564385361062;102.66738836879883;0.9198398109236378;0.0;0.012105582820457912;570;100.64056102003644;100.615;98.332;103.229;4.897000000000006;10.756130683742185;90.16809116809117;5.0008333333333335;300.05;18003;0.20836805555555554;0.35100000000000003;86.31992455608791;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;22.86377120331202;
2019-11-04 13:58:43;5.2508333333333335;1572876492;218.74020940831898;76.77781350231997;-0.006264943760689305;102.32244638544677;0.904858509206498;0.0;0.013261307440603267;570;100.55757826887661;100.615;98.225;102.551;4.326000000000008;10.756130683742185;90.16809116809117;5.2508333333333335;315.05;18903;0.21878472222222223;0.35100000000000003;76.77781350231997;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;20.336328726364698;
2019-11-04 14:13:43;5.5008333333333335;1572877393;209.72807090779975;73.61455288863772;-0.00600682687846624;102.44331354598087;0.9122415447284085;0.0;0.012620271141584042;570;100.72589330922241;100.703;98.375;103.071;4.695999999999998;10.756130683742185;90.16809116809117;5.5008333333333335;330.05;19803;0.22920138888888889;0.35100000000000003;73.61455288863772;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.498468089905437;
2019-11-04 14:28:43;5.7508333333333335;1572878292;216.13400193064592;75.86303467765673;-0.006190299307707956;102.41886554859039;0.9072420132664663;0.0;0.012963017821441518;570;100.66149097472925;100.725;98.139;102.709;4.570000000000007;10.756130683742185;90.16809116809117;5.7508333333333335;345.05;20703;0.23961805555555554;0.35100000000000003;75.86303467765673;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;20.094029004066577;
2019-11-04 14:43:43;6.0008333333333335;1572879193;211.52330189168654;74.24467896398198;-0.006058244133583259;102.50130631939834;0.8827622750488623;0.0;0.0145999828736598;570;100.76808876811593;100.769;98.525;103.071;4.545999999999992;10.756130683742185;90.16809116809117;6.0008333333333335;360.05;21603;0.2500347222222222;0.35100000000000003;74.24467896398198;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.665371136797596;
2019-11-04 14:58:43;6.2508333333333335;1572880093;222.78504840117827;78.19755198881359;-0.006380792094563777;102.65690975721027;0.9085238243889368;0.0;0.012849881344257075;570;100.83737410071943;100.857;98.418;102.845;4.4269999999999925;10.756130683742185;90.16809116809117;6.2508333333333335;375.05;22503;0.2604513888888889;0.35100000000000003;78.19755198881359;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;20.712378359061432;
2019-11-04 15:13:43;6.5008333333333335;1572880992;221.1082197661945;77.60898513793428;-0.00633276600405713;102.62289173150312;0.9023594874918626;0.0;0.013299811518506012;570;100.82332310469315;100.80199999999999;98.053;103.093;5.040000000000006;10.756130683742185;90.16809116809117;6.5008333333333335;390.05;23403;0.27086805555555554;0.35100000000000003;77.60898513793428;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;20.556483206400422;
2019-11-04 15:28:43;6.7508333333333335;1572881893;221.78272599305336;77.84573682356174;-0.006352084553623009;102.60258785792546;0.8972243922807739;0.0;0.013608132684897542;570;100.79785457809695;100.813;98.525;103.207;4.681999999999988;10.756130683742185;90.16809116809117;6.7508333333333335;405.05;24303;0.2812847222222222;0.35100000000000003;77.84573682356174;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;20.619192208986114;
2019-11-04 15:43:43;7.0008333333333335;1572882792;188.85995933343986;66.2898457260374;-0.005409142777501023;102.57559912013447;0.8583366997782205;0.0;0.016048976190613278;570;101.0323079710145;101.089;99.129;102.912;3.7830000000000013;10.756130683742185;90.16809116809117;7.0008333333333335;420.05;25203;0.2917013888888889;0.35100000000000003;66.2898457260374;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;17.55835484770563;
2019-11-04 15:58:43;7.2508333333333335;1572883692;208.92829769312723;73.33383249028766;-0.005983920553996759;102.7833540378199;0.8915598589033229;0.0;0.013990722886588414;570;101.07712949640288;101.145;98.697;103.32;4.6229999999999905;10.756130683742185;90.16809116809117;7.2508333333333335;435.05;26103;0.30211805555555554;0.35100000000000003;73.33383249028766;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.4241129859942;
2019-11-04 16:13:43;7.501111111111111;1572884593;212.00885854514885;74.41510934934726;-0.006072150973733034;102.66847315949417;0.8951642801792146;0.0;0.013781138642508158;571;100.94334657039711;100.857;98.633;103.139;4.506;10.756130683742185;90.16809116809117;7.501111111111111;450.06666666666666;27004;0.3125462962962963;0.35100000000000003;74.41510934934726;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.710513453095054;
2019-11-04 16:28:43;7.7508333333333335;1572885492;214.61509841640745;75.32989954415902;-0.006146796354499868;102.7325524179416;0.8884524170090033;0.0;0.01418976489521875;570;100.98690647482015;101.078;98.547;103.502;4.954999999999998;10.756130683742185;90.16809116809117;7.7508333333333335;465.05;27903;0.3229513888888889;0.35100000000000003;75.32989954415902;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.952816187032447;
2019-11-04 16:43:43;8.000833333333333;1572886393;203.7617367297982;71.52036959215917;-0.005835944953356239;102.398118359872;0.8562532630441853;0.0;0.01616656127802158;570;100.73767572463768;100.813;98.182;103.025;4.8430000000000035;10.756130683742185;90.16809116809117;8.000833333333333;480.05;28803;0.33336805555555554;0.35100000000000003;71.52036959215917;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;18.94377659782273;
2019-11-04 16:58:43;8.251111111111111;1572887293;204.76813124567295;71.87361406723122;-0.005864769123636026;102.51776294973595;0.8164777716665346;0.0;0.018521128542625546;571;100.85616573556797;100.879;98.053;103.479;5.426000000000002;10.756130683742185;90.16809116809117;8.251111111111111;495.06666666666666;29704;0.3437962962962963;0.35100000000000003;71.87361406723122;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;19.037341332713492;
2019-11-04 17:13:43;8.501111111111111;1572888193;168.93519602117763;59.29625380343335;-0.004838477137498115;103.65631425433595;0.765333859089523;0.0;0.020599783216194482;571;102.27007747747749;102.417;100.022;104.187;4.164999999999992;10.756130683742185;90.16809116809117;8.501111111111111;510.06666666666666;30604;0.35421296296296295;0.35100000000000003;59.29625380343335;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;15.705944915351575;
2019-11-04 17:28:43;8.750833333333333;1572889093;145.7630424973564;51.1628279165721;-0.004174802913936375;104.45250666502828;0.6936604137412713;4.921835125230285e-273;0.023536343573764686;570;103.26738918918919;103.343;100.901;105.038;4.1370000000000005;10.756130683742185;90.16809116809117;8.750833333333333;525.05;31503;0.36461805555555554;0.35100000000000003;51.1628279165721;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;13.551624351094599;
2019-11-04 17:43:43;9.001111111111111;1572889994;154.72573844020113;54.3087341925106;-0.0044315037106393024;104.83395590719562;0.7531457943982285;0.0;0.021089863736772328;571;103.57148653500897;103.57;101.478;105.34;3.862000000000009;10.756130683742185;90.16809116809117;9.001111111111111;540.0666666666667;32404;0.3750462962962963;0.35100000000000003;54.3087341925106;15.083820434608345;16.18067037940565;0.47590206998251916;-0.4248046875;14.38488830133572;
