AQUARESP 3 - Swim version  - Data file 
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1574778469
Flush time ,s: 600
Wait time, s: 30
Measurement time, s: 870
Mass of fish, kg: 0.453
Fish length - width - heigth, cm: 36;4.3;6.8;
Volume respirometer, L: 32
Real volume (vresp - vfish) (neutrally bouyant), L: 31.547
Salinity: 0.5
Temperature: 12

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2 mg/h/kg;MO2 mg/h;SLOPE;Intercept;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;Animal mass;Average swimspeed not corrrected for solidblocking cm/s;Average swimspeed cm/s;Average swimspeed BL/s;Average voltage;Vh2o L/kg/h;
2019-11-26 18:48:20;4.583888888888889;1574794970;232.8614227669323;105.48622451342032;-0.008597767642341355;92.32907719148861;0.9824777371803028;0.0;0.004542984446293689;871;88.60206110458283;88.51;84.631;92.503;7.872;10.803126912819913;69.6401766004415;4.583888888888889;275.03333333333336;16502;0.19099537037037037;0.453;105.48622451342032;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;21.55500205135969;
2019-11-26 19:13:20;5.000555555555556;1574796470;223.73060218368312;101.34996278920846;-0.00826063720301883;92.00597036921585;0.980943854327514;0.0;0.004740450389657039;871;88.41765647058824;88.414;84.467;92.282;7.814999999999998;10.803126912819913;69.6401766004415;5.000555555555556;300.03333333333336;18002;0.20835648148148148;0.453;101.34996278920846;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.709800411414708;
2019-11-26 19:38:21;5.417222222222223;1574797970;221.515721718296;100.34662193838808;-0.008178858832987915;91.47572341204071;0.9794646017057526;0.0;0.004921003106420987;870;87.92185529411763;87.787;83.564;91.923;8.359000000000009;10.803126912819913;69.6401766004415;5.417222222222223;325.03333333333336;19502;0.22571759259259258;0.453;100.34662193838808;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.504778246696937;
2019-11-26 20:03:21;5.833888888888889;1574799470;220.6563684358241;99.95733490142833;-0.00814712957634427;91.3127089917716;0.978797666274733;0.0;0.004997329525403897;870;87.77884606345476;87.711;83.618;91.685;8.067000000000007;10.803126912819913;69.6401766004415;5.833888888888889;350.03333333333336;21002;0.2430787037037037;0.453;99.95733490142833;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.425231529398623;
2019-11-26 20:28:21;6.250555555555556;1574800970;217.18578931833767;98.38516256120697;-0.008018987986887539;91.1850592450513;0.9813376285121801;0.0;0.004691216638246142;870;87.70397882352941;87.617;83.618;91.229;7.611000000000004;10.803126912819913;69.6401766004415;6.250555555555556;375.03333333333336;22502;0.2604398148148148;0.453;98.38516256120697;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.103974624292015;
2019-11-26 20:53:21;6.667222222222223;1574802470;221.5964703752044;100.38320107996759;-0.008181840255076987;90.75777039534984;0.9801291867558632;0.0;0.004837867567033679;870;87.20707285546418;87.089;82.991;91.032;8.040999999999997;10.803126912819913;69.6401766004415;6.667222222222223;400.03333333333336;24002;0.2778009259259259;0.453;100.38320107996759;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.512252810085858;
2019-11-26 21:18:21;7.083888888888889;1574803970;248.23406623183334;112.45003200302051;-0.00916536022590151;90.33937637953993;0.9824884531571282;0.0;0.004544272110340724;870;86.3619011764706;86.584;81.753;90.463;8.709999999999994;10.803126912819913;69.6401766004415;7.083888888888889;425.03333333333336;25502;0.29516203703703703;0.453;112.45003200302051;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;22.97798297058397;
2019-11-26 21:43:21;7.500555555555556;1574805471;210.02363113341485;95.14070490343693;-0.007754544992595209;89.83532039818208;0.978550918779737;0.0;0.005029287012498267;870;86.4654505882353;86.612;82.334;90.111;7.777000000000001;10.803126912819913;69.6401766004415;7.500555555555556;450.03333333333336;27002;0.31252314814814813;0.453;95.14070490343693;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.44100377865439;
2019-11-26 22:08:21;7.917222222222223;1574806970;222.73038681347273;100.89686522650315;-0.00822370700117095;89.97836606778898;0.9764104510681182;0.0;0.00527426433793988;870;86.40362705882353;86.584;82.193;90.326;8.132999999999996;10.803126912819913;69.6401766004415;7.917222222222223;475.03333333333336;28502;0.32988425925925924;0.453;100.89686522650315;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.61721468338596;
2019-11-26 22:33:21;8.33388888888889;1574808470;221.5205082962109;100.34879025818354;-0.008179035564213833;89.81775309496201;0.9811953527552923;0.0;0.004709064828833348;870;86.26397176470589;86.556;82.122;89.917;7.795000000000002;10.803126912819913;69.6401766004415;8.33388888888889;500.03333333333336;30002;0.34724537037037034;0.453;100.34879025818354;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.505221320073147;
2019-11-26 22:58:21;8.750555555555556;1574809971;215.09815097764135;97.43946239287153;-0.00794190768238165;89.66783697625864;0.9775828180912767;0.0;0.005135480034693283;870;86.21780516431926;86.5375;82.263;89.722;7.458999999999989;10.803126912819913;69.6401766004415;8.750555555555556;525.0333333333333;31502;0.3646064814814815;0.453;97.43946239287153;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.9107307276366;
2019-11-26 23:23:21;9.167222222222222;1574811470;235.99453854877942;106.90552596259708;-0.00871344932618916;89.64872438297957;0.9846334553894409;0.0;0.004254360281206508;870;85.86445593419506;85.971;81.648;89.626;7.978000000000009;10.803126912819913;69.6401766004415;9.167222222222222;550.0333333333333;33002;0.3819675925925926;0.453;106.90552596259708;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;21.8450213954932;
2019-11-26 23:48:21;9.58388888888889;1574812970;203.0045246208914;91.96104965326381;-0.007495383787899128;89.24040599026561;0.9656081056645258;0.0;0.007101267320651033;870;86.61777777777777;86.752;83.17;89.626;6.456000000000003;10.803126912819913;69.6401766004415;9.58388888888889;575.0333333333333;34502;0.3993287037037037;0.453;91.96104965326381;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.791274624385732;
2019-11-27 00:13:21;10.000555555555556;1574814470;214.8404134615254;97.32270729807101;-0.007932391433404259;89.32574655210553;0.9781258443997479;0.0;0.005072898649310758;870;85.87531455399062;86.07249999999999;81.823;89.606;7.783000000000001;10.803126912819913;69.6401766004415;10.000555555555556;600.0333333333333;36002;0.4166898148148148;0.453;97.32270729807101;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.88687305029967;
2019-11-27 00:38:21;10.417222222222222;1574815971;214.70069432482126;97.25941452914404;-0.007927232688523734;89.49057438347094;0.9753691587383165;0.0;0.005389415865808347;870;86.04081058823529;86.342;81.788;89.858;8.070000000000007;10.803126912819913;69.6401766004415;10.417222222222222;625.0333333333333;37502;0.4340509259259259;0.453;97.25941452914404;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.87393983773708;
2019-11-27 01:03:21;10.83388888888889;1574817470;217.46283166533206;98.51066274439543;-0.008029217013654805;89.5703753940994;0.9742197578372047;0.0;0.005507240385357453;870;86.07978638497653;86.454;81.858;89.839;7.9809999999999945;10.803126912819913;69.6401766004415;10.83388888888889;650.0333333333333;39002;0.45141203703703703;0.453;98.51066274439543;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.129619268590847;
2019-11-27 01:28:21;11.250555555555556;1574818971;214.92971239159016;97.36315971339035;-0.00793568855081548;89.51568208993837;0.975095272402193;0.0;0.0054161047200913075;870;86.0660634547591;86.379;81.876;89.742;7.866;10.803126912819913;69.6401766004415;11.250555555555556;675.0333333333333;40502;0.46877314814814813;0.453;97.36315971339035;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.895139076496104;
2019-11-27 01:53:21;11.667222222222222;1574820471;238.43924860079952;108.01297961616218;-0.008803713521651036;89.53770773132835;0.9780164121227235;0.0;0.005085572196076049;870;85.70786502347418;86.008;81.35;89.587;8.237000000000009;10.803126912819913;69.6401766004415;11.667222222222222;700.0333333333333;42002;0.48613425925925924;0.453;108.01297961616218;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;22.071317917949028;
2019-11-27 02:18:21;12.08388888888889;1574821971;206.8131786515724;93.6863699291623;-0.007636007863784109;89.2563577506517;0.975874360799625;0.0;0.0053307162896397125;870;85.93612103407754;86.193;82.228;89.529;7.301000000000002;10.803126912819913;69.6401766004415;12.08388888888889;725.0333333333333;43502;0.5034953703703704;0.453;93.6863699291623;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.14382570162628;
2019-11-27 02:43:21;12.500555555555556;1574823471;209.7890223229366;95.03442711229029;-0.0077458827074671265;89.43218294718456;0.972000685738313;0.0;0.005746134289316368;870;86.0652117647059;86.342;82.069;89.49;7.420999999999992;10.803126912819913;69.6401766004415;12.500555555555556;750.0333333333333;45002;0.5208564814814814;0.453;95.03442711229029;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.4192870282754;
2019-11-27 03:08:21;12.917222222222222;1574824971;210.5660588083775;95.38642464019502;-0.007774572642760226;89.57769975945617;0.9757515261344797;0.0;0.005350575542591464;870;86.20058657243816;86.454;81.964;89.8;7.8359999999999985;10.803126912819913;69.6401766004415;12.917222222222222;775.0333333333333;46502;0.5382175925925926;0.453;95.38642464019502;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.4912140260522;
2019-11-27 03:33:21;13.33388888888889;1574826471;216.16201920459474;97.92139469968141;-0.007981188090912734;89.75628477804237;0.980515258754545;0.0;0.004790639337255965;870;86.28657814336074;86.603;82.405;89.975;7.569999999999993;10.803126912819913;69.6401766004415;13.33388888888889;800.0333333333333;48002;0.5555787037037037;0.453;97.92139469968141;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.00920853277012;
2019-11-27 03:58:21;13.750555555555556;1574827971;224.7707448330409;101.82114740936754;-0.008299041609845023;89.98596953668815;0.9786060502989167;0.0;0.005022819354719561;870;86.37355294117647;86.528;82.052;90.209;8.156999999999996;10.803126912819913;69.6401766004415;13.750555555555556;825.0333333333333;49502;0.5729398148148148;0.453;101.82114740936754;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.806082039664716;
2019-11-27 04:23:21;14.167222222222222;1574829471;207.554725571781;94.0222906840168;-0.0076633874444810325;90.11989991586422;0.9780257624806418;0.0;0.005090482879122512;870;86.7884;86.86449999999999;82.866;90.248;7.382000000000005;10.803126912819913;69.6401766004415;14.167222222222222;850.0333333333333;51002;0.590300925925926;0.453;94.0222906840168;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.212467579685548;
2019-11-27 04:48:21;14.58388888888889;1574830971;204.5819722780937;92.67563344197644;-0.007553626704494874;90.34925043549538;0.9768786157232324;0.0;0.005215518052974511;870;87.06759859154931;87.183;83.366;90.796;7.430000000000007;10.803126912819913;69.6401766004415;14.58388888888889;875.0333333333333;52502;0.607662037037037;0.453;92.67563344197644;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.937292316294023;
2019-11-27 05:13:21;15.000833333333333;1574832471;229.49504311135766;103.96125452944503;-0.008473473331456273;90.50390213720421;0.9798550801892935;0.0;0.004876868734639817;871;86.81572555948175;87.014;82.476;90.874;8.397999999999996;10.803126912819913;69.6401766004415;15.000833333333333;900.05;54003;0.6250347222222222;0.453;103.96125452944503;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;21.243390451982865;
2019-11-27 05:38:21;15.4175;1574833971;216.49141540969435;98.07061118059154;-0.007993350139911936;90.45186527382104;0.9753068203647626;0.0;0.005396231611744562;871;86.97372352941177;87.127;82.92;90.56;7.640000000000001;10.803126912819913;69.6401766004415;15.4175;925.05;55503;0.6423958333333334;0.453;98.07061118059154;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.03969935341472;
2019-11-27 06:03:21;15.83388888888889;1574835471;205.19235728743595;92.95213785120849;-0.007576163492342062;90.43769507068134;0.97598762048361;0.0;0.005315059572062809;870;87.14866197183099;87.146;83.134;90.914;7.780000000000001;10.803126912819913;69.6401766004415;15.83388888888889;950.0333333333333;57002;0.6597453703703704;0.453;92.95213785120849;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.99379308817868;
2019-11-27 06:28:21;16.250833333333333;1574836971;213.8702145041128;96.8832071703631;-0.007896569505050655;90.39723483223106;0.9806193587528577;0.0;0.004777824862912239;871;86.97050411280846;87.071;82.671;90.619;7.947999999999993;10.803126912819913;69.6401766004415;16.250833333333333;975.05;58503;0.6771180555555556;0.453;96.8832071703631;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.79706581529799;
2019-11-27 06:53:22;16.66722222222222;1574838471;204.35459143959702;92.57262992213745;-0.00754523129235453;90.39095349036567;0.9792667253029335;0.0;0.004944655335617455;869;87.1165894117647;87.1555;83.17;90.737;7.566999999999993;10.803126912819913;69.6401766004415;16.66722222222222;1000.0333333333333;60002;0.6944675925925926;0.453;92.57262992213745;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.916244628866888;
2019-11-27 07:18:21;17.08416666666667;1574839971;232.021818039218;105.10588357176576;-0.008566767546771537;90.58432271689779;0.9854224031402815;0.0;0.0041437077988681886;870;86.8656509988249;86.939;82.777;91.032;8.254999999999995;10.803126912819913;69.6401766004415;17.08416666666667;1025.05;61503;0.7118402777777778;0.453;105.10588357176576;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;21.477283374675633;
2019-11-27 07:43:22;17.500833333333333;1574841471;206.1647633361659;93.39263779128315;-0.007612066911472826;90.36112941287465;0.9747657104160156;0.0;0.005451822355979652;870;87.06208108108109;87.108;83.027;91.071;8.043999999999997;10.803126912819913;69.6401766004415;17.500833333333333;1050.05;63003;0.7292013888888889;0.453;93.39263779128315;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.08380462433642;
2019-11-27 08:08:22;17.9175;1574842971;219.65470901876438;99.50358318550026;-0.008110146057037759;90.7503641871509;0.9783681428675794;0.0;0.0050447243418447205;870;87.22859037558686;87.08;83.384;91.308;7.924000000000007;10.803126912819913;69.6401766004415;17.9175;1075.05;64503;0.7465625;0.453;99.50358318550026;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;20.332512132029418;
2019-11-27 08:33:22;18.33416666666667;1574844471;202.79340395417069;91.86541199123933;-0.007487588737884435;90.66932959098509;0.9776038659717509;0.0;0.005136090691869729;870;87.41644300822561;87.353;83.384;90.914;7.530000000000001;10.803126912819913;69.6401766004415;18.33416666666667;1100.05;66003;0.7639236111111111;0.453;91.86541199123933;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.77173207263896;
2019-11-27 08:58:22;18.750833333333333;1574845971;205.5737623481052;93.12491434369166;-0.007590245825303368;90.93081326146448;0.9782433055587274;0.0;0.005062238600475292;870;87.63795769682726;87.466;83.761;91.012;7.251000000000005;10.803126912819913;69.6401766004415;18.750833333333333;1125.05;67503;0.7812847222222222;0.453;93.12491434369166;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;19.029098149736054;
2019-11-27 09:23:22;19.1675;1574847471;194.84603756376325;88.26525501638476;-0.007194154090009477;91.37289555093194;0.9744644567889749;0.0;0.0054875011508815075;870;88.24972705882354;88.11;84.758;91.784;7.0260000000000105;10.803126912819913;69.6401766004415;19.1675;1150.05;69003;0.7986458333333334;0.453;88.26525501638476;16.36941504530492;17.985482509846033;0.49959673638461205;-0.45166015625;18.036077807485746;
